Kód produktu;Název;Nákupní cena;Prodejní cena;Mare Kè;Mare %;Multishop
126204/176917;"Kruhové jehlice è. 3; 3,5; 4";13.98;151.5;137.52;90.77;95
126204/176919;"Kruhové jehlice è. 3; 3,5; 4";13.98;151.5;137.52;90.77;95
70835/176917;"Kruhové jehlice è. 3; 3,5; 4";13.98;33.24;19.26;57.94;60
70835/176918;"Kruhové jehlice è. 3; 3,5; 4";31.46;33.7;2.24;6.65;10
70835/176919;"Kruhové jehlice è. 3; 3,5; 4";13.98;33.24;19.26;57.94;60
98667/176917;"Kruhové jehlice è. 3; 3,5; 4";13.98;108.15;94.17;87.07;90
98667/176919;"Kruhové jehlice è. 3; 3,5; 4";13.98;108.15;94.17;87.07;90
108381/176761;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";18.63;173.04;154.41;89.23;90
108381/176762;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";18.63;173.04;154.41;89.23;90
108381/176763;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";18.63;173.04;154.41;89.23;90
108381/176765;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";18.63;173.04;154.41;89.23;90
126398/176761;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";18.63;201.9;183.27;90.77;95
126398/176762;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";18.63;201.9;183.27;90.77;95
126398/176763;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";18.63;201.9;183.27;90.77;95
126398/176765;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";18.63;201.9;183.27;90.77;95
70836/176761;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";18.63;44.32;25.69;57.96;60
70836/176762;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";18.63;44.32;25.69;57.96;60
70836/176763;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";18.63;44.32;25.69;57.96;60
70836/176765;"Kruhové jehlice è. 4,5; 5; 5,5; 6; 7; 8";18.63;44.32;25.69;57.96;60
108358/176921;Kruhové jehlice è. 9;24.56;190.1;165.54;87.08;90
117561/176921;Kruhové jehlice è. 9;24.56;266.1;241.54;90.77;95
70837/176921;Kruhové jehlice è. 9;24.56;58.41;33.85;57.95;60
70837/176922;Kruhové jehlice è. 9;54.45;59.3;4.85;8.18;10
100937/190075;Plastovı rámeèek na pletení ponoek 5,3x13,5 cm;93.17;432.63;339.46;78.46;80
100938/190075;Plastovı rámeèek na pletení ponoek 5,3x13,5 cm;93.17;1211.4;1118.23;92.31;95
79082/190075;Plastovı rámeèek na pletení ponoek 5,3x13,5 cm;93.17;221.57;128.4;57.95;60
126277/194018;"Kruhové jehlice è. 2,5; 3; 3,5; 4";15.25;495.6;480.35;96.92;100
126277/194019;"Kruhové jehlice è. 2,5; 3; 3,5; 4";15.25;495.6;480.35;96.92;100
126277/194020;"Kruhové jehlice è. 2,5; 3; 3,5; 4";457.5;498.1;40.6;8.15;10
126277/194021;"Kruhové jehlice è. 2,5; 3; 3,5; 4";15.25;495.6;480.35;96.92;100
139761/194018;"Kruhové jehlice è. 2,5; 3; 3,5; 4";15.25;236.0;220.75;93.54;95
139761/194019;"Kruhové jehlice è. 2,5; 3; 3,5; 4";15.25;236.0;220.75;93.54;95
139761/194020;"Kruhové jehlice è. 2,5; 3; 3,5; 4";152.5;237.2;84.7;35.71;40
139761/194021;"Kruhové jehlice è. 2,5; 3; 3,5; 4";15.25;236.0;220.75;93.54;95
81457/194018;"Kruhové jehlice è. 2,5; 3; 3,5; 4";15.25;36.26;21.01;57.94;60
81457/194019;"Kruhové jehlice è. 2,5; 3; 3,5; 4";15.25;36.26;21.01;57.94;60
81457/194020;"Kruhové jehlice è. 2,5; 3; 3,5; 4";15.25;36.4;21.15;58.1;60
81457/194021;"Kruhové jehlice è. 2,5; 3; 3,5; 4";15.25;36.26;21.01;57.94;60
128642/194093;"Kruhové jehlice è. 4,5; 5; 6; 7";330.0;366.0;36.0;9.84;10
128642/194094;"Kruhové jehlice è. 4,5; 5; 6; 7";332.8;362.4;29.6;8.17;10
128642/194096;"Kruhové jehlice è. 4,5; 5; 6; 7";23.29;360.5;337.21;93.54;95
128642/194097;"Kruhové jehlice è. 4,5; 5; 6; 7";23.29;360.5;337.21;93.54;95
128643/194093;"Kruhové jehlice è. 4,5; 5; 6; 7";690.0;768.8;78.8;10.25;15
128643/194094;"Kruhové jehlice è. 4,5; 5; 6; 7";690.0;761.1;71.1;9.34;10
128643/194096;"Kruhové jehlice è. 4,5; 5; 6; 7";23.29;757.5;734.21;96.93;100
128643/194097;"Kruhové jehlice è. 4,5; 5; 6; 7";23.29;757.5;734.21;96.93;100
81458/194093;"Kruhové jehlice è. 4,5; 5; 6; 7";33.0;55.7;22.7;40.75;45
81458/194094;"Kruhové jehlice è. 4,5; 5; 6; 7";33.28;55.7;22.42;40.25;45
81458/194096;"Kruhové jehlice è. 4,5; 5; 6; 7";23.29;55.4;32.11;57.96;60
81458/194097;"Kruhové jehlice è. 4,5; 5; 6; 7";23.29;55.4;32.11;57.96;60
104796/205974;Sada háèkù na háèkování v pouzdøe;356.56;802.42;445.86;55.56;60
91578/205974;Sada háèkù na háèkování v pouzdøe;356.56;501.52;144.96;28.9;30
98876/211388;Sada háèkù na háèkování a cvakaèky v pouzdøe;245.68;422.57;176.89;41.86;45
98877/211388;Sada háèkù na háèkování a cvakaèky v pouzdøe;245.68;1014.15;768.47;75.77;80
109345/224574;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;165.15;148.21;89.74;90
120281/211434;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;131.1;114.16;87.08;90
120281/211435;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;131.1;114.16;87.08;90
120281/211436;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;131.1;114.16;87.08;90
120281/211437;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";121.0;131.8;10.8;8.19;10
120281/211438;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";121.0;131.8;10.8;8.19;10
120281/211439;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;131.1;114.16;87.08;90
120281/211440;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;131.1;114.16;87.08;90
120281/211441;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;131.1;114.16;87.08;90
120281/211442;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;131.1;114.16;87.08;90
122872/211434;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;183.5;166.56;90.77;95
122872/211435;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;183.5;166.56;90.77;95
122872/211436;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;183.5;166.56;90.77;95
122872/211437;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";169.4;184.5;15.1;8.18;10
122872/211438;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";169.4;184.5;15.1;8.18;10
122872/211439;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;183.5;166.56;90.77;95
